id,name_vi,name_en,price,size,category,ingredients,description,tags,available
menu_0045,Latte,Latte,75000,L,coffee,espresso|steamed milk,"Latte size L (75.000đ) — sữa nhiều hơn cappuccino, vị cà phê dịu hơn, béo mịn. Phù hợp khách thích vị nhẹ, uống lâu.",coffee|milk|smooth|creamy|mild|premium,true
menu_0046,Americano,Americano,65000,L,coffee,espresso|nước,"Americano size L (65.000đ) — espresso pha loãng, thanh mát, ít calo. Phù hợp khách ăn kiêng, uống nhiều.",coffee|espresso|black|light|low-sugar|no-milk,true
menu_0047,Trà sen vàng,Golden Lotus Tea,65000,L,tea,trà oolong|hoa sen|mật ong,"Trà sen vàng size L (65.000đ) — hương sen tinh tế, vị thanh nhẹ, thơm mật ong. Phù hợp khách thích trà hoa, uống lâu.",tea|lotus|mild|sweet|fragrant|floral|light,true
menu_0048,Trà đào cam sả,Peach Lemongrass Tea,65000,L,tea,trà|đào|cam|sả,"Trà đào cam sả size L (65.000đ) — chua ngọt cân bằng, thanh mát, thơm sả. Phù hợp trời nóng, uống cả ngày.",tea|peach|citrus|lemongrass|fruity|refreshing|sour-sweet,true
menu_0049,Trà vải,Lychee Tea,65000,L,tea,trà|vải thiều|đường,"Trà vải size L (65.000đ) — ngọt thanh hương vải, nhẹ nhàng. Phù hợp khách thích trà nhẹ, uống nhiều.",tea|lychee|sweet|fruity|light|mild,true
menu_0050,Trà bưởi mật ong,Honey Pomelo Tea,69000,L,tea,trà|bưởi|mật ong,"Trà bưởi mật ong size L (69.000đ) — chua nhẹ vị bưởi, ngọt tự nhiên mật ong, thanh mát. Phù hợp khách thích vị tự nhiên, uống nhiều.",tea|pomelo|honey|citrus|natural|sweet|refreshing,true
menu_0051,Trà chanh,Lemon Tea,59000,L,tea,trà|chanh tươi|đường,"Trà chanh size L (59.000đ) — chua mát, giải khát nhiều. Phù hợp giải khát lâu dài, ngân sách tốt.",tea|lemon|sour|refreshing|cheap|light|fruity,true
menu_0052,Chocolate Freeze,Chocolate Freeze,85000,L,freeze,chocolate|sữa|kem|đá xay,"Chocolate Freeze size L (85.000đ) — ngọt đậm vị socola, béo kem, thích hợp trời nóng, uống nhiều. Phù hợp khách thích ngọt.",freeze|chocolate|sweet|creamy|rich|cold|popular,true
menu_0053,Freeze Trà Xanh,Green Tea Freeze,85000,L,freeze,matcha|sữa|kem|đá xay,"Freeze Trà Xanh size L (85.000đ) — vị trà xanh nhẹ đắng, béo kem, mát lạnh, uống nhiều. Phù hợp khách thích matcha.",freeze|green-tea|matcha|sweet|cold|creamy|refreshing,true
menu_0054,Caramel Freeze,Caramel Freeze,85000,L,freeze,caramel|sữa|kem|đá xay,"Caramel Freeze size L (85.000đ) — ngọt caramel thơm, béo mịn, giải nhiệt tốt, uống nhiều. Phù hợp khách thích caramel.",freeze|caramel|sweet|creamy|cold|popular,true
menu_0055,Freeze Khoai Môn,Taro Freeze,85000,L,freeze,khoai môn|sữa|kem|đá xay,"Freeze Khoai Môn size L (85.000đ) — vị khoai môn tím thơm đặc trưng, béo và ngọt, uống nhiều. Phù hợp khách thích vị độc đáo.",freeze|taro|sweet|creamy|cold|purple|unique,true
