id,topic,question,answer,language,source_file
faq_0017,size,Các size ly như thế nào?,"Quán có **3 size**: S (nhỏ), M (vừa) và L (lớn). Size M là phổ biến nhất ạ. Một số món chỉ có S.",vi,highlands_faq.csv
faq_0018,promotion,Có khuyến mãi gì không?,"Khuyến mãi thường xuyên thay đổi ạ. Anh/chị theo dõi **fanpage Highlands Coffee** hoặc app để cập nhật ưu đãi mới nhất nhé.",vi,highlands_faq.csv
faq_0019,allergy,Tôi dị ứng sữa thì uống gì?,"Anh/chị có thể chọn **Cà phê đen đá**, **Americano** hoặc các loại **trà** — đều không có sữa ạ. Nhớ báo nhân viên để tránh lẫn nguyên liệu nhé.",vi,highlands_faq.csv
faq_0020,sugar_free,Có thể giảm đường không?,"Được ạ! Anh/chị có thể yêu cầu **ít ngọt** hoặc **không đường** cho hầu hết các món. Chỉ cần báo khi order.",vi,highlands_faq.csv
faq_0021,sugar_free,Uống gì ít ngọt?,"Anh/chị thử **Cà phê đen đá**, **Americano**, **Trà đào cam sả ít ngọt** hoặc **Trà chanh** ạ — vị thanh tự nhiên, không quá ngọt.",vi,highlands_faq.csv
faq_0022,cold_drink,Trời nóng uống gì ngon?,"Trời nóng thì **Freeze** (đá xay) là lựa chọn số 1 ạ! **Chocolate Freeze** và **Caramel Freeze** rất được yêu thích. Hoặc **Trà đào cam sả** cũng rất mát.",vi,highlands_faq.csv
faq_0023,budget,Có gì giá rẻ không?,"Giá rẻ nhất quán là **Cà phê đen đá size S** (29.000đ), **Bánh mì que** (25.000đ), **Trà chanh** (từ 39.000đ) ạ.",vi,highlands_faq.csv
faq_0024,seat,Quán có chỗ ngồi làm việc không?,"Có ạ! Hầu hết chi nhánh có **wifi mạnh**, **ổ cắm điện** và **không gian rộng rãi** phù hợp làm việc hoặc học bài.",vi,highlands_faq.csv
faq_0025,kids,Trẻ em uống gì?,"Trẻ em thích **Chocolate Freeze** hoặc **Freeze Khoai Môn** ạ — ngọt, mát và đẹp mắt. Có thể yêu cầu ít đường thêm.",vi,highlands_faq.csv
faq_0026,best_seller,Món nào bán chạy nhất?,"**Bạc xỉu**, **Trà đào cam sả** và **Chocolate Freeze** là 3 món bán chạy nhất ạ. Rất được khách quen yêu thích!",vi,highlands_faq.csv
faq_0027,hot_drink,Có đồ uống nóng không?,"Có ạ! **Cà phê đen nóng**, **Cà phê sữa nóng**, **Cappuccino** và **Latte** đều có phục vụ nóng.",vi,highlands_faq.csv
faq_0028,reservation,Có đặt bàn trước không?,"Highlands Coffee không nhận đặt bàn trước ạ — phục vụ theo thứ tự vào quán. Anh/chị đến sớm vào giờ cao điểm nhé.",vi,highlands_faq.csv
faq_0029,social,What's your social media?,"Follow us on **Facebook** and **Instagram** @highlandscoffee.vn for latest news, promotions and new drinks!",en,highlands_faq.csv
faq_0030,feedback,Góp ý cho quán như thế nào?,"Anh/chị góp ý qua **fanpage Facebook**, **app Highlands Coffee**, hoặc trực tiếp tại quầy. Chúng em luôn lắng nghe ạ!",vi,highlands_faq.csv
